,Ship Mode,Segment,Market,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
40874,First Class,Home Office,LATAM,Office Supplies,11.7,3,0.4,0.36,1.77,High
40875,Standard Class,Consumer,LATAM,Office Supplies,43.0,5,0.0,16.3,1.77,Medium
40876,Second Class,Consumer,LATAM,Office Supplies,13.184,2,0.2,-1.016,1.77,High
40877,Standard Class,Consumer,EU,Office Supplies,32.4,3,0.0,8.37,1.77,Medium
40878,Standard Class,Home Office,EU,Office Supplies,25.8,4,0.0,6.6,1.77,Medium
40879,First Class,Corporate,EU,Office Supplies,34.125,5,0.5,-12.375,1.77,Medium
40880,Second Class,Consumer,EU,Office Supplies,61.32,4,0.0,3.0,1.77,Medium
40881,Standard Class,Corporate,APAC,Office Supplies,23.274,2,0.1,-1.326,1.77,Medium
40882,Second Class,Corporate,APAC,Office Supplies,19.8,3,0.5,-7.2,1.77,High
40883,Second Class,Home Office,APAC,Office Supplies,29.01,1,0.0,5.22,1.77,Medium
40884,Standard Class,Consumer,APAC,Office Supplies,26.64,3,0.0,8.19,1.77,Medium
40885,Standard Class,Consumer,APAC,Office Supplies,21.1401,3,0.17,0.7101,1.77,Medium
40886,Standard Class,Consumer,APAC,Technology,385.86,2,0.0,84.84,1.77,Medium
40887,Standard Class,Consumer,APAC,Office Supplies,25.704,3,0.4,-6.066,1.77,Medium
40888,Standard Class,Consumer,APAC,Furniture,34.02,2,0.1,7.92,1.77,Medium
40889,First Class,Consumer,APAC,Office Supplies,51.711,2,0.45,-23.529,1.77,High
40890,Second Class,Home Office,APAC,Office Supplies,11.8524,1,0.17,1.5624,1.77,Medium
40891,Standard Class,Consumer,APAC,Office Supplies,17.1,2,0.0,6.3,1.77,High
40892,First Class,Consumer,APAC,Office Supplies,6.318,1,0.4,-3.912,1.77,Critical
40893,Standard Class,Home Office,US,Office Supplies,28.9,5,0.0,14.161,1.77,Medium
40894,Same Day,Corporate,US,Office Supplies,10.86,2,0.0,5.3214,1.77,High
40895,Standard Class,Home Office,US,Office Supplies,15.24,4,0.0,6.858,1.77,Medium
40896,Standard Class,Corporate,US,Office Supplies,19.68,5,0.2,6.888,1.77,Medium
40897,Standard Class,Corporate,US,Furniture,20.32,4,0.0,6.9088,1.77,Medium
40898,First Class,Consumer,US,Office Supplies,9.45,3,0.0,4.536,1.77,Medium
40899,First Class,Consumer,US,Office Supplies,19.44,3,0.0,9.3312,1.77,Medium
40900,Standard Class,Corporate,US,Office Supplies,14.9,5,0.0,6.854,1.77,Medium
40901,Standard Class,Corporate,US,Office Supplies,51.984,1,0.2,-5.1984,1.77,Medium
40902,Second Class,Corporate,Africa,Furniture,52.86,2,0.0,14.76,1.77,Medium
40903,Standard Class,Consumer,Africa,Office Supplies,19.89,1,0.0,8.94,1.77,Medium
40904,Standard Class,Consumer,EMEA,Office Supplies,57.48,4,0.0,12.0,1.77,Medium
40905,Standard Class,Consumer,Africa,Office Supplies,19.74,1,0.0,2.16,1.77,Medium
40906,Standard Class,Corporate,EMEA,Office Supplies,10.596,1,0.6,-11.154,1.77,Low
40907,Standard Class,Corporate,Africa,Office Supplies,45.72,1,0.0,15.06,1.77,Medium
40908,Standard Class,Corporate,EMEA,Office Supplies,17.64,2,0.6,-18.54,1.77,High
40909,Standard Class,Consumer,Africa,Technology,24.975,1,0.7,-50.805,1.77,Medium
40910,Standard Class,Corporate,Africa,Office Supplies,31.2,1,0.0,4.05,1.77,High
40911,Standard Class,Consumer,LATAM,Office Supplies,29.04,2,0.0,5.2,1.77,Medium
40912,Second Class,Consumer,LATAM,Office Supplies,11.952,2,0.6,-4.488,1.77,Medium
40913,Standard Class,Corporate,LATAM,Office Supplies,30.68,2,0.0,13.8,1.77,Medium
40914,Second Class,Home Office,LATAM,Office Supplies,19.548,3,0.4,-6.852,1.77,Medium
40915,Standard Class,Consumer,LATAM,Office Supplies,55.8,6,0.0,18.36,1.77,Medium
40916,Standard Class,Consumer,LATAM,Office Supplies,17.52,2,0.0,3.84,1.76,High
40917,Second Class,Consumer,LATAM,Office Supplies,17.64,1,0.0,5.98,1.76,Medium
40918,Standard Class,Consumer,LATAM,Furniture,28.48,1,0.0,7.12,1.76,Medium
40919,First Class,Corporate,LATAM,Office Supplies,9.0,2,0.4,-1.52,1.76,High
40920,Second Class,Consumer,LATAM,Office Supplies,17.136,6,0.4,-3.504,1.76,Medium
40921,First Class,Consumer,LATAM,Office Supplies,12.096,2,0.4,-0.224,1.76,Medium
40922,Standard Class,Consumer,EU,Office Supplies,36.24,2,0.0,7.2,1.76,Medium
40923,Second Class,Corporate,EU,Office Supplies,33.12,2,0.0,1.98,1.76,High
40924,Standard Class,Corporate,EU,Office Supplies,40.32,3,0.0,6.84,1.76,Medium
40925,Standard Class,Consumer,EU,Office Supplies,28.56,7,0.5,-1.89,1.76,Medium
40926,Second Class,Consumer,EU,Office Supplies,20.7,2,0.0,7.44,1.76,Medium
40927,Standard Class,Consumer,EU,Office Supplies,26.67,2,0.5,-24.57,1.76,Medium
40928,Second Class,Corporate,EU,Technology,61.56,2,0.0,16.62,1.76,Medium
40929,Standard Class,Corporate,EU,Office Supplies,14.685,1,0.5,-4.425,1.76,High
40930,Standard Class,Consumer,APAC,Office Supplies,11.637,1,0.1,-0.663,1.76,High
40931,Second Class,Consumer,APAC,Office Supplies,26.433,1,0.1,11.733,1.76,High
40932,Standard Class,Home Office,APAC,Office Supplies,36.72,3,0.0,13.14,1.76,Medium
40933,Standard Class,Corporate,APAC,Office Supplies,33.39,3,0.47,-11.34,1.76,Medium
40934,Standard Class,Consumer,APAC,Office Supplies,24.462,2,0.1,2.142,1.76,Medium
40935,Second Class,Home Office,APAC,Office Supplies,11.6388,2,0.47,-6.8412,1.76,High
40936,Standard Class,Home Office,APAC,Office Supplies,15.822,2,0.1,-1.458,1.76,Medium
40937,Standard Class,Home Office,APAC,Office Supplies,12.312,2,0.4,-2.688,1.76,High
40938,Standard Class,Corporate,APAC,Office Supplies,22.14,2,0.0,9.06,1.76,Medium
40939,Standard Class,Home Office,APAC,Furniture,31.14,1,0.4,-2.1,1.76,Medium
40940,Standard Class,Corporate,APAC,Office Supplies,26.064,4,0.4,-2.616,1.76,Medium
40941,Standard Class,Corporate,US,Office Supplies,15.552,3,0.2,5.4432,1.76,Low
40942,Standard Class,Consumer,US,Furniture,17.46,2,0.0,5.9364,1.76,Medium
40943,Second Class,Consumer,US,Office Supplies,14.03,1,0.0,4.0687,1.76,High
40944,Second Class,Consumer,US,Office Supplies,16.28,2,0.0,6.512,1.76,High
40945,Standard Class,Corporate,US,Furniture,11.54,2,0.0,3.462,1.76,High
40946,First Class,Corporate,US,Office Supplies,12.224,2,0.2,4.4312,1.76,High
40947,Standard Class,Consumer,US,Office Supplies,32.4,5,0.0,15.552,1.76,Medium
40948,First Class,Consumer,US,Office Supplies,25.06,2,0.0,11.7782,1.76,Medium
40949,Standard Class,Corporate,US,Office Supplies,9.84,3,0.0,2.8536,1.76,High
40950,Standard Class,Corporate,US,Office Supplies,19.4,5,0.0,9.312,1.76,Medium
40951,Standard Class,Consumer,US,Office Supplies,21.96,2,0.0,6.1488,1.76,Medium
40952,Standard Class,Corporate,US,Technology,36.784,2,0.2,-8.2764,1.76,Medium
40953,Standard Class,Consumer,US,Office Supplies,17.856,4,0.2,6.2496,1.76,High
40954,Standard Class,Consumer,EMEA,Office Supplies,15.84,1,0.0,1.26,1.76,Low
40955,Second Class,Corporate,Africa,Office Supplies,34.68,2,0.0,9.36,1.76,Medium
40956,Standard Class,Home Office,Africa,Office Supplies,21.3,2,0.0,5.28,1.76,Medium
40957,Standard Class,Consumer,Africa,Furniture,18.99,1,0.0,6.81,1.76,Medium
40958,Standard Class,Corporate,Canada,Office Supplies,19.2,1,0.0,4.41,1.76,Medium
40959,Same Day,Consumer,Africa,Office Supplies,9.306,2,0.7,-20.814,1.76,High
40960,Standard Class,Corporate,EMEA,Office Supplies,57.06,6,0.0,3.96,1.76,Medium
40961,First Class,Corporate,EMEA,Office Supplies,17.49,1,0.0,2.07,1.76,High
40962,Second Class,Consumer,EMEA,Office Supplies,14.22,4,0.7,-22.86,1.76,High
40963,Standard Class,Consumer,EMEA,Office Supplies,37.44,4,0.0,0.0,1.76,Medium
40964,Standard Class,Corporate,EMEA,Office Supplies,37.38,2,0.0,17.16,1.76,Medium
40965,Second Class,Consumer,Africa,Office Supplies,61.86,1,0.0,26.58,1.76,Medium
40966,Standard Class,Consumer,LATAM,Office Supplies,19.184,2,0.6,-13.456,1.76,Medium
40967,Standard Class,Consumer,LATAM,Office Supplies,15.24,2,0.0,4.56,1.76,Low
40968,Standard Class,Home Office,LATAM,Office Supplies,26.0,1,0.0,8.06,1.76,Medium
40969,Standard Class,Consumer,LATAM,Office Supplies,30.48,5,0.2,10.28,1.76,Medium
40970,Standard Class,Corporate,LATAM,Office Supplies,17.76,1,0.0,2.48,1.75,Medium
40971,Standard Class,Home Office,LATAM,Technology,27.82,1,0.0,3.32,1.75,Medium
40972,Standard Class,Corporate,LATAM,Office Supplies,11.68,2,0.0,3.72,1.75,High
40973,Second Class,Consumer,LATAM,Office Supplies,22.26,3,0.0,9.3,1.75,Medium
40974,Standard Class,Corporate,LATAM,Office Supplies,13.88,2,0.0,3.32,1.75,Medium
40975,First Class,Home Office,LATAM,Office Supplies,24.552,2,0.4,-15.168,1.75,Medium
40976,Standard Class,Consumer,LATAM,Office Supplies,11.712,4,0.4,-6.448,1.75,High
40977,Standard Class,Home Office,EU,Office Supplies,10.08,1,0.0,4.62,1.75,Low
40978,Standard Class,Consumer,EU,Office Supplies,25.83,1,0.0,9.03,1.75,Low
40979,First Class,Corporate,EU,Office Supplies,26.64,4,0.0,2.28,1.75,High
40980,Standard Class,Consumer,EU,Office Supplies,22.08,2,0.0,3.3,1.75,Medium
40981,Standard Class,Consumer,EU,Office Supplies,45.96,4,0.0,0.36,1.75,Medium
40982,Standard Class,Corporate,EU,Office Supplies,79.44,4,0.0,35.64,1.75,Medium
40983,Second Class,Consumer,EU,Office Supplies,28.86,4,0.5,-23.7,1.75,Medium
40984,Standard Class,Consumer,EU,Office Supplies,23.52,2,0.0,11.28,1.75,Medium
40985,First Class,Corporate,EU,Office Supplies,14.55,1,0.0,3.18,1.75,High
40986,Standard Class,Corporate,EU,Office Supplies,27.36,4,0.0,5.64,1.75,Medium
40987,Same Day,Consumer,EU,Office Supplies,11.7,3,0.5,-8.01,1.75,Medium
40988,Standard Class,Corporate,APAC,Office Supplies,24.246,2,0.1,-0.294,1.75,Medium
40989,First Class,Corporate,APAC,Office Supplies,9.936,1,0.1,1.206,1.75,High
40990,Standard Class,Home Office,APAC,Office Supplies,20.7168,2,0.17,-2.0232,1.75,Medium
40991,Standard Class,Corporate,APAC,Office Supplies,22.56,2,0.0,10.56,1.75,Medium
40992,First Class,Corporate,APAC,Office Supplies,12.72,1,0.0,1.14,1.75,Medium
40993,Standard Class,Home Office,APAC,Office Supplies,26.88,2,0.0,9.9,1.75,Medium
40994,Standard Class,Corporate,APAC,Furniture,89.6148,3,0.27,-18.4752,1.75,Medium
40995,Standard Class,Corporate,APAC,Office Supplies,24.12,4,0.0,0.72,1.75,Medium
40996,Standard Class,Corporate,APAC,Office Supplies,25.92,2,0.0,8.28,1.75,Medium
40997,Standard Class,Consumer,APAC,Office Supplies,21.4014,2,0.47,-0.0186,1.75,Medium
40998,Standard Class,Corporate,APAC,Office Supplies,27.24,4,0.0,12.48,1.75,Medium
40999,Standard Class,Home Office,APAC,Office Supplies,22.716,2,0.4,3.756,1.75,Medium
41000,Standard Class,Consumer,APAC,Office Supplies,37.476,2,0.4,-8.124,1.75,Medium
41001,Standard Class,Consumer,APAC,Office Supplies,29.22,2,0.0,6.72,1.75,Medium
41002,Standard Class,Consumer,US,Office Supplies,27.24,6,0.0,13.3476,1.75,Medium
41003,Second Class,Consumer,US,Office Supplies,19.44,3,0.0,9.3312,1.75,Medium
41004,Standard Class,Consumer,US,Office Supplies,17.94,3,0.0,8.073,1.75,Medium
41005,Standard Class,Consumer,US,Technology,53.7,6,0.0,10.203,1.75,Medium
41006,Second Class,Consumer,US,Furniture,17.472,3,0.2,5.0232,1.75,Medium
41007,Standard Class,Corporate,US,Office Supplies,19.168,4,0.2,6.4692,1.75,Medium
41008,Second Class,Consumer,US,Office Supplies,15.232,4,0.2,5.5216,1.75,Medium
41009,Standard Class,Consumer,US,Office Supplies,32.4,5,0.0,15.552,1.75,Medium
41010,Standard Class,Home Office,US,Furniture,45.568,2,0.2,9.6832,1.75,Medium
41011,Standard Class,Corporate,EMEA,Office Supplies,52.44,4,0.0,17.76,1.75,Medium
41012,Standard Class,Consumer,Canada,Office Supplies,18.84,1,0.0,1.5,1.75,Medium
41013,Standard Class,Consumer,Africa,Technology,29.4,1,0.0,6.15,1.75,Medium
41014,Standard Class,Consumer,Africa,Technology,19.566,1,0.7,-21.534,1.75,Medium
41015,Standard Class,Corporate,EMEA,Office Supplies,10.92,1,0.0,1.2,1.75,High
41016,Same Day,Consumer,Africa,Office Supplies,22.41,1,0.0,9.84,1.75,High
41017,Second Class,Corporate,EMEA,Office Supplies,6.804,1,0.6,-3.066,1.75,Critical
41018,Standard Class,Consumer,EMEA,Office Supplies,15.9,2,0.0,0.3,1.75,Medium
41019,Second Class,Consumer,Africa,Technology,65.31,1,0.0,18.93,1.75,Medium
41020,Standard Class,Consumer,EMEA,Office Supplies,22.14,1,0.0,1.32,1.75,Medium
41021,Second Class,Consumer,Africa,Office Supplies,8.82,2,0.0,0.0,1.75,Critical
41022,Standard Class,Home Office,EMEA,Office Supplies,23.832,2,0.6,-35.208,1.75,High
41023,Standard Class,Consumer,EMEA,Office Supplies,16.98,1,0.0,6.45,1.75,High
41024,Second Class,Consumer,Africa,Office Supplies,26.28,1,0.0,5.25,1.75,Medium
41025,Second Class,Consumer,Canada,Office Supplies,22.68,2,0.0,3.6,1.75,Medium
41026,Second Class,Corporate,EMEA,Office Supplies,6.966,1,0.7,-8.604,1.75,High
41027,First Class,Consumer,Canada,Office Supplies,9.12,2,0.0,3.24,1.75,Medium
41028,Standard Class,Consumer,EMEA,Technology,30.9,1,0.0,10.17,1.75,Medium
41029,First Class,Home Office,Africa,Office Supplies,64.26,2,0.0,32.1,1.75,Medium
41030,Second Class,Consumer,LATAM,Technology,24.08,1,0.0,6.74,1.75,Medium
41031,Standard Class,Corporate,LATAM,Office Supplies,29.88,2,0.0,13.44,1.75,Medium
41032,Standard Class,Corporate,LATAM,Furniture,31.68,2,0.0,7.6,1.75,Medium
41033,Standard Class,Corporate,LATAM,Office Supplies,38.2,5,0.0,4.9,1.75,Medium
41034,Standard Class,Corporate,LATAM,Office Supplies,22.2,5,0.0,9.3,1.74,Medium
41035,Standard Class,Corporate,LATAM,Office Supplies,21.96,3,0.0,2.82,1.74,Medium
41036,Standard Class,Corporate,LATAM,Office Supplies,18.0,3,0.0,4.68,1.74,Low
41037,Standard Class,Corporate,LATAM,Furniture,69.2,2,0.0,26.28,1.74,Medium
41038,Standard Class,Home Office,LATAM,Technology,37.056,2,0.4,-1.864,1.74,Medium
41039,Standard Class,Corporate,EU,Office Supplies,25.14,2,0.0,3.24,1.74,Medium
41040,Standard Class,Consumer,EU,Office Supplies,19.35,5,0.0,1.8,1.74,Low
41041,Standard Class,Home Office,EU,Office Supplies,41.49,3,0.0,15.3,1.74,Medium
41042,Standard Class,Corporate,EU,Furniture,76.224,8,0.6,-91.536,1.74,Medium
41043,Standard Class,Corporate,EU,Office Supplies,26.88,4,0.0,11.28,1.74,High
41044,Standard Class,Home Office,EU,Office Supplies,29.808,2,0.1,-1.332,1.74,High
41045,Standard Class,Consumer,EU,Office Supplies,15.96,1,0.0,1.59,1.74,Medium
41046,Standard Class,Consumer,EU,Office Supplies,36.0,4,0.0,0.0,1.74,Medium
41047,Second Class,Consumer,EU,Office Supplies,59.58,2,0.0,21.42,1.74,Medium
41048,Standard Class,Home Office,EU,Office Supplies,33.21,3,0.0,10.26,1.74,Medium
41049,Standard Class,Corporate,APAC,Office Supplies,24.552,4,0.4,-14.328,1.74,Medium
41050,First Class,Consumer,US,Furniture,18.28,2,0.0,6.2152,1.74,High
41051,Standard Class,Consumer,US,Office Supplies,15.28,2,0.0,7.4872,1.74,Medium
41052,Standard Class,Consumer,US,Office Supplies,24.56,2,0.0,6.8768,1.74,Medium
41053,Standard Class,Corporate,US,Office Supplies,19.44,3,0.0,9.3312,1.74,High
41054,Standard Class,Consumer,US,Office Supplies,62.94,3,0.0,11.9586,1.74,Medium
41055,Standard Class,Home Office,US,Technology,27.696,3,0.2,3.462,1.74,Medium
41056,Same Day,Home Office,US,Office Supplies,7.8,3,0.0,2.106,1.74,Critical
41057,Standard Class,Corporate,US,Office Supplies,32.232,3,0.2,2.4174,1.74,Medium
41058,Standard Class,Home Office,US,Office Supplies,40.74,3,0.0,12.222,1.74,High
41059,Standard Class,Consumer,US,Office Supplies,32.4,5,0.0,15.552,1.74,Medium
41060,Standard Class,Consumer,Africa,Technology,19.593,1,0.7,-26.787,1.74,Medium
41061,Standard Class,Consumer,Africa,Office Supplies,25.254,2,0.7,-42.966,1.74,Medium
41062,Second Class,Home Office,EMEA,Office Supplies,12.21,1,0.0,0.0,1.74,High
41063,Standard Class,Corporate,EMEA,Office Supplies,17.4,1,0.0,1.56,1.74,Medium
41064,First Class,Consumer,Africa,Office Supplies,18.93,1,0.0,6.81,1.74,High
41065,Standard Class,Consumer,Africa,Office Supplies,15.12,1,0.0,5.43,1.74,Medium
41066,First Class,Corporate,EMEA,Office Supplies,30.48,1,0.0,2.73,1.74,Medium
41067,Standard Class,Corporate,EMEA,Office Supplies,49.71,1,0.0,10.92,1.74,Low
41068,First Class,Consumer,EMEA,Technology,84.42,2,0.0,15.18,1.74,Medium
41069,Standard Class,Corporate,EMEA,Office Supplies,23.148,1,0.6,-20.862,1.74,Medium
41070,Standard Class,Consumer,Africa,Furniture,47.01,1,0.0,7.98,1.74,Medium
41071,Standard Class,Consumer,EMEA,Furniture,42.06,1,0.0,21.03,1.74,Medium
41072,Standard Class,Consumer,LATAM,Office Supplies,14.576,1,0.2,3.096,1.74,Medium
41073,Second Class,Corporate,LATAM,Office Supplies,45.528,7,0.4,-9.212,1.74,High
41074,Standard Class,Consumer,LATAM,Office Supplies,16.308,3,0.4,-9.552,1.74,Low
41075,Standard Class,Consumer,LATAM,Office Supplies,33.64,1,0.0,14.8,1.74,Medium
41076,First Class,Consumer,LATAM,Office Supplies,15.7,1,0.0,2.98,1.73,High
41077,Standard Class,Consumer,LATAM,Office Supplies,45.912,2,0.4,-26.808,1.73,Medium
41078,First Class,Corporate,LATAM,Office Supplies,21.54,3,0.0,10.5,1.73,High
41079,Standard Class,Consumer,LATAM,Furniture,66.528,3,0.4,-16.632,1.73,Medium
41080,Standard Class,Corporate,LATAM,Office Supplies,30.6,3,0.0,0.0,1.73,Medium
41081,Standard Class,Home Office,LATAM,Office Supplies,29.4,3,0.0,11.46,1.73,Medium
41082,Standard Class,Consumer,EU,Technology,55.14,1,0.0,15.99,1.73,Medium
41083,Standard Class,Consumer,EU,Office Supplies,19.8,2,0.0,7.92,1.73,Medium
41084,Standard Class,Corporate,EU,Office Supplies,24.48,4,0.0,0.96,1.73,Medium
41085,First Class,Corporate,EU,Office Supplies,73.26,6,0.0,0.0,1.73,High
41086,Second Class,Corporate,EU,Office Supplies,11.55,1,0.0,2.76,1.73,Critical
41087,Same Day,Consumer,EU,Office Supplies,28.875,7,0.5,-17.955,1.73,Medium
41088,First Class,Consumer,APAC,Office Supplies,16.632,2,0.1,0.552,1.73,Medium
41089,Standard Class,Consumer,APAC,Office Supplies,27.27,3,0.5,-4.41,1.73,Medium
41090,First Class,Home Office,APAC,Office Supplies,28.755,3,0.1,4.455,1.73,High
41091,Standard Class,Consumer,APAC,Office Supplies,25.2,1,0.0,1.5,1.73,Medium
41092,Standard Class,Home Office,APAC,Office Supplies,56.7,3,0.1,11.97,1.73,Medium
41093,First Class,Consumer,APAC,Office Supplies,13.32,1,0.0,1.98,1.73,High
41094,Standard Class,Consumer,APAC,Furniture,23.91,1,0.0,1.89,1.73,Medium
41095,First Class,Corporate,US,Office Supplies,15.712,4,0.2,5.6956,1.73,Medium
41096,Standard Class,Consumer,US,Office Supplies,23.168,2,0.2,7.8192,1.73,Medium
41097,Standard Class,Consumer,US,Office Supplies,17.48,2,0.0,8.2156,1.73,Low
41098,Standard Class,Home Office,US,Office Supplies,31.155,5,0.7,-23.8855,1.73,Medium
41099,Standard Class,Corporate,US,Office Supplies,14.352,3,0.2,4.6644,1.73,High
41100,Standard Class,Consumer,US,Office Supplies,47.616,3,0.2,3.5712,1.73,Medium
41101,Standard Class,Consumer,US,Office Supplies,21.568,2,0.2,1.6176,1.73,Medium
41102,Standard Class,Consumer,US,Technology,35.98,2,0.0,10.0744,1.73,Medium
41103,Standard Class,Corporate,US,Office Supplies,14.94,3,0.0,7.0218,1.73,Medium
41104,Standard Class,Corporate,US,Office Supplies,76.64,2,0.2,26.824,1.73,Medium
41105,Standard Class,Consumer,US,Technology,23.08,2,0.0,6.924,1.73,Medium
41106,Standard Class,Consumer,US,Office Supplies,18.69,7,0.0,5.2332,1.73,Medium
41107,First Class,Corporate,US,Office Supplies,22.98,1,0.0,6.894,1.73,Medium
41108,Standard Class,Corporate,EMEA,Office Supplies,11.43,1,0.0,2.73,1.73,High
41109,Standard Class,Corporate,EMEA,Office Supplies,97.74,2,0.0,28.32,1.73,Medium
41110,Standard Class,Corporate,EMEA,Office Supplies,29.04,2,0.0,1.14,1.73,Medium
41111,First Class,Consumer,LATAM,Office Supplies,19.608,2,0.4,-7.192,1.73,Medium
41112,Standard Class,Corporate,LATAM,Office Supplies,33.516,3,0.4,3.336,1.73,Medium
41113,Standard Class,Home Office,LATAM,Office Supplies,20.448,4,0.4,1.648,1.73,Medium
41114,Standard Class,Consumer,LATAM,Office Supplies,15.912,2,0.4,2.632,1.72,Medium
41115,Standard Class,Consumer,LATAM,Office Supplies,41.28,2,0.4,6.16,1.72,Medium
41116,Standard Class,Consumer,LATAM,Office Supplies,27.18,3,0.0,1.32,1.72,Medium
41117,Standard Class,Consumer,LATAM,Furniture,67.36,2,0.0,33.0,1.72,Medium
41118,First Class,Consumer,EU,Furniture,22.23,5,0.8,-41.22,1.72,High
41119,Standard Class,Corporate,EU,Furniture,25.26,1,0.0,10.08,1.72,Medium
41120,Standard Class,Corporate,EU,Office Supplies,15.75,3,0.5,-5.67,1.72,High
41121,Standard Class,Home Office,EU,Office Supplies,28.38,2,0.0,5.94,1.72,High
41122,Standard Class,Home Office,APAC,Office Supplies,28.4928,4,0.47,-5.4672,1.72,Medium
41123,Standard Class,Consumer,APAC,Office Supplies,27.0,2,0.0,13.2,1.72,Medium
41124,Standard Class,Corporate,APAC,Office Supplies,27.3735,3,0.45,-19.4265,1.72,Medium
41125,Standard Class,Consumer,APAC,Office Supplies,14.904,2,0.4,-3.996,1.72,Medium
41126,First Class,Corporate,APAC,Technology,112.671,3,0.1,17.451,1.72,High
41127,Standard Class,Home Office,APAC,Office Supplies,22.05,3,0.0,7.92,1.72,Medium
41128,Standard Class,Consumer,APAC,Office Supplies,11.9886,2,0.47,-6.6114,1.72,High
41129,First Class,Corporate,APAC,Furniture,48.78,1,0.0,22.92,1.72,Medium
41130,Standard Class,Consumer,APAC,Office Supplies,19.224,2,0.4,-11.556,1.72,Medium
41131,First Class,Corporate,US,Office Supplies,6.72,2,0.2,2.436,1.72,Medium
41132,Standard Class,Home Office,US,Office Supplies,29.46,6,0.0,14.4354,1.72,Medium
41133,Standard Class,Consumer,US,Office Supplies,35.0,4,0.0,10.5,1.72,Medium
41134,Standard Class,Corporate,US,Office Supplies,25.99,1,0.0,7.5371,1.72,Medium
41135,First Class,Home Office,US,Office Supplies,12.96,2,0.0,6.2208,1.72,Medium
41136,First Class,Corporate,US,Office Supplies,15.36,2,0.2,-3.264,1.72,High
41137,Second Class,Consumer,US,Office Supplies,25.56,5,0.7,-20.448,1.72,Medium
41138,Standard Class,Home Office,US,Furniture,25.16,2,0.0,8.5544,1.72,Medium
41139,Standard Class,Home Office,US,Office Supplies,19.648,2,0.2,6.6312,1.72,High
41140,Standard Class,Home Office,US,Office Supplies,29.9,5,0.0,14.651,1.72,Medium
41141,First Class,Consumer,US,Technology,657.504,6,0.2,-131.5008,1.72,High
41142,Standard Class,Consumer,US,Office Supplies,36.63,3,0.0,9.8901,1.72,Medium
41143,Standard Class,Corporate,US,Furniture,19.52,2,0.2,5.368,1.72,Medium
41144,Standard Class,Home Office,US,Office Supplies,23.88,6,0.0,8.1192,1.72,Medium
41145,Standard Class,Consumer,US,Technology,29.925,5,0.7,-21.945,1.72,Medium
41146,Standard Class,Home Office,US,Office Supplies,22.05,7,0.0,10.584,1.72,Medium
41147,Second Class,Consumer,US,Technology,23.2,2,0.2,1.45,1.72,Medium
41148,Standard Class,Corporate,US,Office Supplies,11.673,3,0.7,-7.782,1.72,Low
41149,Standard Class,Corporate,Africa,Technology,45.21,1,0.0,13.56,1.72,Low
41150,Standard Class,Corporate,Africa,Office Supplies,40.98,2,0.0,5.7,1.72,Medium
41151,Standard Class,Consumer,Africa,Office Supplies,93.24,2,0.0,27.0,1.72,High
41152,Standard Class,Corporate,EMEA,Office Supplies,20.316,1,0.6,-23.874,1.72,Medium
41153,Standard Class,Home Office,Africa,Office Supplies,18.54,2,0.0,8.1,1.72,Medium
41154,Second Class,Corporate,Africa,Technology,24.525,1,0.7,-41.715,1.72,Medium
41155,Standard Class,Corporate,Africa,Office Supplies,17.7,2,0.0,8.1,1.72,High
41156,Standard Class,Corporate,EMEA,Office Supplies,23.52,2,0.0,11.28,1.72,Medium
41157,First Class,Consumer,Africa,Office Supplies,8.937,1,0.7,-20.583,1.72,High
41158,Second Class,Consumer,EMEA,Office Supplies,14.76,1,0.0,2.34,1.72,High
41159,Standard Class,Consumer,Africa,Office Supplies,19.5,1,0.0,7.8,1.72,Medium
41160,Standard Class,Home Office,Africa,Technology,25.101,1,0.7,-30.969,1.72,Medium
41161,First Class,Corporate,EMEA,Office Supplies,16.836,1,0.6,-17.274,1.72,High
41162,Standard Class,Corporate,LATAM,Office Supplies,28.352,2,0.2,7.432,1.72,Medium
41163,Standard Class,Consumer,LATAM,Office Supplies,21.528,2,0.4,-1.472,1.72,Medium
41164,Standard Class,Corporate,LATAM,Office Supplies,15.06,3,0.0,6.9,1.72,Medium
41165,Standard Class,Consumer,LATAM,Office Supplies,35.52,2,0.0,14.2,1.72,Medium
41166,Standard Class,Home Office,LATAM,Office Supplies,50.76,3,0.4,-27.12,1.71,Medium
41167,Standard Class,Consumer,LATAM,Office Supplies,12.636,3,0.4,-1.524,1.71,High
41168,Standard Class,Consumer,LATAM,Office Supplies,14.624,2,0.2,-2.016,1.71,High
41169,First Class,Consumer,LATAM,Office Supplies,20.54,1,0.0,6.98,1.71,Critical
41170,Second Class,Corporate,LATAM,Office Supplies,11.172,1,0.4,-0.188,1.71,High
41171,Standard Class,Corporate,EU,Office Supplies,26.37,3,0.0,9.99,1.71,Medium
41172,First Class,Corporate,EU,Office Supplies,32.1,2,0.0,10.56,1.71,Medium
41173,Second Class,Consumer,EU,Office Supplies,14.28,1,0.0,1.56,1.71,High
41174,Standard Class,Consumer,EU,Office Supplies,39.6,3,0.0,0.72,1.71,Medium
41175,Standard Class,Corporate,APAC,Office Supplies,14.787,2,0.47,-3.633,1.71,High
41176,Standard Class,Consumer,APAC,Office Supplies,19.1754,2,0.47,-5.4846,1.71,Medium
41177,Standard Class,Home Office,APAC,Office Supplies,38.3985,5,0.47,-3.0015,1.71,Medium
